OBJECTID,Pack,Year,PackID,PackStatus,ShapeSTArea,ShapeSTLength
206,Loup Loup,2022,4,Breeding Pairs,5747455297.61654,296577.346125021
207,Navarre,2022,34,Breeding Pairs,3148694804.87114,229688.199531806
208,Onion Creek,2022,35,Breeding Pairs,5152165366.84428,281805.293095202
209,Shady Pass,2022,41,Breeding Pairs,8771962442.47037,443684.047577945
210,Smackout,2022,7,Breeding Pairs,4938074069.63947,277540.141433598
211,Stranger,2022,8,Breeding Pairs,1916866278.39263,178769.215244245
212,Sullivan Creek,2022,32,Breeding Pairs,3819109342.23495,238125.444957955
213,Teanaway,2022,9,Single Wolf Territory,12935562044.3808,500894.001603312
214,Togo,2022,14,Breeding Pairs,5337951739.72715,276085.429358582
215,Tucannon,2022,11,Breeding Pairs,5962179226.21278,313877.77105604
216,Vulcan,2022,37,Breeding Pairs,1068103939.94421,126322.462757201
217,Napeequa,2022,48,Nonbreeding Pack,2749971449.11257,228273.006329974
218,Sherman,2022,26,Nonbreeding Pack,5393791673.86256,260380.81207334
219,Goodman Meadows,2022,3,Breeding Pairs,5394217537.89988,260391.090986773
220,Salmo,2022,15,Nonbreeding Pack,5396057686.07774,260435.501258677
221,Beaver Creek,2022,18,Single Wolf Territory,5396188048.22572,260438.647141128
222,Wedge,2022,20,Nonbreeding Pack,5397030917.9226,260458.986246316
223,Diobsud Creek,2022,6,Single Wolf Territory,5394837830.4773,260406.062019831
224,Huckleberry,2022,21,Nonbreeding Pack,5391050585.88955,260314.641792999
225,Mt. Spokane,2022,47,Breeding Pairs,5390604054.48113,260303.860863658
226,Maverick,2022,46,Nonbreeding Pack,5389325011.83562,260272.977544487
227,Five Sisters,2022,45,Nonbreeding Pack,5390705400.67523,260306.307776972
228,Chopaka,2022,44,Breeding Pairs,5396562295.18637,260447.678209126
229,Chewuch,2022,43,Breeding Pairs,5394447161.33966,260396.633149412
230,Touchet,2022,10,Breeding Pairs,5387852937.61033,260237.428815422
231,Strawberry,2022,13,Breeding Pairs,10857954844.977,507242.06430225
232,Keller Ridge,2022,40,Breeding Pairs,2654809614.5999,228445.257621715
233,Nc'icn,2022,12,Breeding Pairs,6533174544.57745,366017.067639311
234,Wilmont,2022,50,Breeding Pairs,6636418389.77961,334016.362703475
235,Whitestone,2022,20,Breeding Pairs,5665750982.3626,330968.965882288
236,Frosty,2022,23,Breeding Pairs,2887643927.27573,228401.173963022
237,Sprague Lake,2022,49,Single Wolf Territory,5388254447.52951,260247.125253301
238,Butte Creek,2022,29,Breeding Pairs,5387902455.93786,260238.624699273
